3|6475;REPUBLICA DOMINICANA
3|6602;REUNIAO, ILHA
3|6700;ROMENIA
3|6750;RUANDA
3|6769;RUSSIA
3|6858;SAARA OCIDENTAL
3|6777;SALOMAO, ILHAS
3|6904;SAMOA
3|6912;SAMOA AMERICANA
3|6971;SAN MARINO
3|7102;SANTA HELENA
3|7153;SANTA LUCIA
3|6955;SAO CRISTOVAO E NEVES
3|7005;SAO PEDRO E MIQUELON
3|7200;SAO TOME E PRINCIPE, ILHAS
3|7056;SAO VICENTE E GRANADINAS
3|7285;SENEGAL
3|7358;SERRA LEOA
3|7315;SEYCHELLES
3|7447;SIRIA, REPUBLICA ARABE DA
3|7480;SOMALIA
3|7501;SRI LANKA
3|7544;SUAZILANDIA
3|7595;SUDAO
3|7641;SUECIA
3|7676;SUICA
3|7706;SURINAME
3|7722;TADJIQUISTAO
3|7765;TAILANDIA
3|7803;TANZANIA, REPUBLICA UNIDA DA
3|7919;TCHECA, REPUBLICA
3|7820;TERRITORIO BRITANICO OC. INDICO
3|7951;TIMOR LESTE
3|8001;TOGO
3|8109;TONGA
3|8052;TOQUELAU, ILHAS
3|8150;TRINIDAD E TOBAGO
3|8206;TUNISIA
3|8230;TURCAS E CAICOS, ILHAS
3|8249;TURCOMENISTAO, REPUBLICA DO
3|8273;TURQUIA
3|8281;TUVALU
3|8311;UCRANIA
3|8338;UGANDA
3|8451;URUGUAI
3|8478;UZBEQUISTAO, REPUBLICA DO
3|5517;VANUATU
3|8486;VATICANO, ESTADO DA CIDADE DO
3|8508;VENEZUELA
3|8583;VIETNA
3|8630;VIRGENS, ILHAS (BRITANICAS)
3|8664;VIRGENS, ILHAS (E.U.A.)
3|8737;WAKE, ILHA
3|8753;WALLIS E FUTUNA, ILHAS
3|8907;ZAMBIA
3|6653;ZIMBABUE
3|8958;ZONA DO CANAL DO PANAMA
4|11;RONDONIA;RO;1058
4|12;ACRE;AC;1058
4|13;AMAZONAS;AM;1058
4|14;RORAIMA;RR;1058
4|15;PARA;PA;1058
4|16;AMAPA;AP;1058
4|17;TOCANTINS;TO;1058
4|21;MARANHAO;MA;1058
4|22;PIAUI;PI;1058
4|23;CEARA;CE;1058
4|24;RIO GRANDE DO NORTE;RN;1058
4|25;PARAIBA;PB;1058
4|26;PERNAMBUCO;PE;1058
4|27;ALAGOAS;AL;1058
4|28;SERGIPE;SE;1058
4|29;BAHIA;BA;1058
4|31;MINAS GERAIS;MG;1058
4|32;ESPIRITO SANTO;ES;1058
4|33;RIO DE JANEIRO;RJ;1058
4|35;SAO PAULO;SP;1058
4|41;PARANA;PR;1058
4|42;SANTA CATARINA;SC;1058
4|43;RIO GRANDE DO SUL;RS;1058
4|50;MATO GROSSO DO SUL;MS;1058
4|51;MATO GROSSO;MT;1058
4|52;GOIAS;GO;1058
4|53;DISTRITO FEDERAL;DF;1058
5|1100015;ALTA FLORESTA D OESTE ;11;1058
5|1100023;ARIQUEMES ;11;1058
5|1100031;CABIXI ;11;1058
5|1100049;CACOAL ;11;1058
5|1100056;CEREJEIRAS ;11;1058
5|1100064;COLORADO DO OESTE ;11;1058
5|1100072;CORUMBIARA ;11;1058
5|1100080;COSTA MARQUES ;11;1058
5|1100098;ESPIGAO D OESTE ;11;1058
5|1100106;GUAJARA-MIRIM ;11;1058
5|1100114;JARU ;11;1058
5|1100122;JI-PARANA ;11;1058
5|1100130;MACHADINHO D OESTE ;11;1058
5|1100148;NOVA BRASILANDIA D OESTE ;11;1058
5|1100155;OURO PRETO DO OESTE ;11;1058
5|1100189;PIMENTA BUENO ;11;1058
5|1100205;PORTO VELHO ;11;1058
5|1100254;PRESIDENTE MEDICI ;11;1058
5|1100262;RIO CRESPO ;11;1058
5|1100288;ROLIM DE MOURA ;11;1058
5|1100296;SANTA LUZIA D OESTE ;11;1058
5|1100304;VILHENA ;11;1058
5|1100320;SAO MIGUEL DO GUAPORE ;11;1058
5|1100338;NOVA MAMORE ;11;1058
5|1100346;ALVORADA D OESTE ;11;1058
5|1100379;ALTO ALEGRE DOS PARECIS ;11;1058
5|1100403;ALTO PARAISO ;11;1058
5|1100452;BURITIS ;11;1058
5|1100502;NOVO HORIZONTE DO OESTE ;11;1058
5|1100601;CACAULANDIA ;11;1058
5|1100700;CAMPO NOVO DE RONDONIA ;11;1058
5|1100809;CANDEIAS DO JAMARI ;11;1058
5|1100908;CASTANHEIRAS ;11;1058
5|1100924;CHUPINGUAIA ;11;1058
5|1100940;CUJUBIM ;11;1058
5|1101005;GOVERNADOR JORGE TEIXEIRA ;11;1058
5|1101104;ITAPUA DO OESTE ;11;1058
5|1101203;MINISTRO ANDREAZZA ;11;1058
5|1101302;MIRANTE DA SERRA ;11;1058
5|1101401;MONTE NEGRO ;11;1058
5|1101435;NOVA UNIAO ;11;1058
5|1101450;PARECIS ;11;1058
5|1101468;PIMENTEIRAS DO OESTE ;11;1058
5|1101476;PRIMAVERA DE RONDONIA ;11;1058
5|1101484;SAO FELIPE D OESTE ;11;1058
5|1101492;SAO FRANCISCO DO GUAPORE ;11;1058
5|1101500;SERINGUEIRAS ;11;1058
5|1101559;TEIXEIROPOLIS ;11;1058
5|1101609;THEOBROMA ;11;1058
5|1101708;URUPA ;11;1058
5|1101757;VALE DO ANARI ;11;1058
5|1101807;VALE DO PARAISO ;11;1058
5|1200013;ACRELANDIA ;12;1058
5|1200054;ASSIS BRASIL ;12;1058
5|1200104;BRASILEIA ;12;1058
5|1200138;BUJARI ;12;1058
5|1200179;CAPIXABA ;12;1058
5|1200203;CRUZEIRO DO SUL ;12;1058
5|1200252;EPITACIOLANDIA ;12;1058
5|1200302;FEIJO ;12;1058
5|1200328;JORDAO ;12;1058
5|1200336;MANCIO LIMA ;12;1058
5|1200344;MANOEL URBANO ;12;1058
5|1200351;MARECHAL THAUMATURGO ;12;1058
5|1200385;PLACIDO DE CASTRO ;12;1058
5|1200393;PORTO WALTER ;12;1058
5|1200401;RIO BRANCO ;12;1058
5|1200427;RODRIGUES ALVES ;12;1058
5|1200435;SANTA ROSA DO PURUS ;12;1058
5|1200450;SENADOR GUIOMARD ;12;1058
5|1200500;SENA MADUREIRA ;12;1058
5|1200609;TARAUACA ;12;1058
5|1200708;XAPURI ;12;1058
5|1200807;PORTO ACRE ;12;1058
5|1300029;ALVARAES ;13;1058
5|1300060;AMATURA ;13;1058
5|1300086;ANAMA ;13;1058
5|1300102;ANORI ;13;1058
5|1300144;APUI ;13;1058
5|1300201;ATALAIA DO NORTE ;13;1058
5|1300300;AUTAZES ;13;1058
5|1300409;BARCELOS ;13;1058
5|1300508;BARREIRINHA ;13;1058
5|1300607;BENJAMIN CONSTANT ;13;1058
5|1300631;BERURI ;13;1058
